# Z1 Z2     a1   b1[1/Ang]  a2     b2[1/Ang]   a3    b3[1/Ang] error(V>30) error(V>10)
14 22  0.54865  12.07842  0.45135  3.44788  0.00000  0.00000  4.74% 10.32%
14 23  0.51605  12.86758  0.48395  3.63380  0.00000  0.00000  4.63%  9.29%
14 24  0.50137  13.19793  0.49863  3.75845  0.00000  0.00000  4.13%  8.94%
14 25  0.46935  14.08066  0.53065  3.92884  0.00000  0.00000  3.69%  8.20%
14 26  0.45590  14.47509  0.54410  4.03073  0.00000  0.00000  3.27%  8.18%
14 27  0.43426  15.31457  0.56574  4.14094  0.00000  0.00000  3.41%  7.63%
14 28  0.43904  15.19616  0.56096  4.14858  0.00000  0.00000  2.76%  5.67%
14 29  0.03625  92.10487  0.44510 12.95819  0.51865  4.01874  1.88%  1.88%
14 30  0.42075  15.53069  0.53596  4.51271  0.04329  2.30770  1.87%  1.91%
14 31  0.24468  23.03167  0.41474  7.35843  0.34058  3.52857  1.80%  2.00%
14 32  0.17162  29.56831  0.42462  8.87737  0.40376  3.69847  1.63%  2.53%
14 33  0.16304  31.18522  0.45925  8.78859  0.37771  3.57348  1.74%  4.89%
14 34  0.12267  38.53563  0.49680  9.48714  0.38053  3.52035  2.13%  6.91%
14 35  0.15381  33.71591  0.53349  8.44406  0.31270  3.22054  2.45%  6.52%
14 36  0.16828  32.69452  0.58880  7.74002  0.24292  2.85737  2.46%  3.72%
14 37  0.15067  35.78780  0.59943  8.03242  0.24990  2.86280  2.54%  3.80%
14 38  0.12355  41.34085  0.59865  8.63786  0.27780  2.98470  3.04%  5.34%
14 39  0.09747  49.11843  0.58372  9.43994  0.31881  3.18479  3.40%  7.85%
14 40  0.08373  55.17892  0.57126  9.96873  0.34501  3.31841  3.26%  9.16%
14 41  0.60562  12.03773  0.39438  3.51234  0.00000  0.00000  3.62%  8.58%
14 42  0.57513  12.81250  0.42487  3.65324  0.00000  0.00000  3.69%  8.54%
14 43  0.55676  13.30345  0.44324  3.74170  0.00000  0.00000  3.59%  9.68%
14 44  0.53096  14.17006  0.46904  3.84403  0.00000  0.00000  4.32% 10.70%
14 45  0.52713  14.39744  0.47287  3.86177  0.00000  0.00000  4.23% 10.72%
14 46  0.54077  14.11267  0.45923  3.80433  0.00000  0.00000  3.68%  7.53%
14 47  0.57799  13.14466  0.42201  3.65726  0.00000  0.00000  2.56%  4.10%
14 48  0.08113  56.75762  0.54576 10.88558  0.37311  3.48350  1.75%  1.68%
14 49  0.07244  61.84861  0.54415 11.30147  0.38341  3.51592  1.49%  1.57%
14 50  0.05512  78.10164  0.54256 12.06700  0.40232  3.58151  1.38%  2.17%
14 51  0.05895  75.27246  0.55311 11.83970  0.38794  3.50227  1.51%  3.57%
14 52  0.06924  66.55945  0.56422 11.38158  0.36655  3.39786  1.90%  5.35%
14 53  0.13728  38.36766  0.54912  9.74015  0.31360  3.17045  2.34%  4.27%
14 54  0.35982  19.42858  0.43109  6.62314  0.20908  2.73388  2.10%  3.11%
14 55  0.18737  33.89204  0.59499  7.94912  0.21763  2.79722  2.59%  4.63%
14 56  0.14359  42.04856  0.60343  8.78502  0.25298  3.00266  3.98%  6.93%
14 57  0.12083  45.18485  0.55615 10.10627  0.32301  3.17346  3.35%  6.20%
14 58  0.20879  32.00212  0.60577  7.53307  0.18544  2.80267  3.00%  4.29%
14 59  0.22817  29.93168  0.60278  7.25735  0.16905  2.77072  2.56%  4.56%
14 60  0.23204  29.64079  0.60325  7.21929  0.16472  2.79309  2.48%  4.29%
14 61  0.23114  29.81618  0.60507  7.25092  0.16380  2.82774  2.41%  3.97%
14 62  0.22857  30.17196  0.60761  7.30311  0.16383  2.86378  2.32%  3.70%
14 63  0.22360  30.82818  0.61107  7.38681  0.16533  2.90332  2.19%  3.38%
14 64  0.15746  38.14431  0.60960  8.57316  0.23294  3.30270  2.75%  5.34%
14 65  0.21273  32.35494  0.61709  7.57440  0.17018  2.98247  1.86%  2.52%
14 66  0.21002  32.78460  0.61705  7.64425  0.17294  3.02065  1.74%  2.11%
14 67  0.20898  32.94264  0.61402  7.71122  0.17700  3.06294  1.55%  1.67%
14 68  0.20966  32.86476  0.61034  7.75652  0.18000  3.09120  1.26%  1.27%
14 69  0.21178  32.71410  0.61058  7.74863  0.17764  3.06989  1.03%  1.05%
14 70  0.24959  27.52181  0.60764  7.26242  0.14277  2.83315  1.07%  1.71%
14 71  0.11861  50.61964  0.60272  9.63827  0.27866  3.55123  2.76%  4.85%
14 72  0.14318  45.37843  0.58052  9.38983  0.27630  3.57715  2.36%  7.23%
14 73  0.13256  48.26554  0.57196  9.76274  0.29548  3.66878  2.44%  7.51%
14 74  0.12145  51.71525  0.56225 10.19119  0.31630  3.76335  2.51%  7.74%
14 75  0.10202  59.59929  0.55568 10.87414  0.34230  3.86125  2.84%  8.19%
14 76  0.08425  69.99369  0.55132 11.56882  0.36443  3.93521  3.63%  9.32%
14 77  0.08512  69.67957  0.55467 11.54283  0.36021  3.90253  3.56% 10.06%
14 78  0.10710  58.51280  0.56920 10.66632  0.32371  3.73072  2.73%  7.57%
14 79  0.11835  54.42908  0.58146 10.24681  0.30019  3.59980  2.09%  3.61%
14 80  0.15203  42.73525  0.58492  9.41714  0.26306  3.41728  1.45%  1.40%
14 81  0.14682  44.50471  0.57881  9.68876  0.27437  3.44927  1.23%  1.62%
14 82  0.13513  47.81828  0.57792 10.03502  0.28695  3.48246  1.14%  2.18%
14 83  0.14249  45.85539  0.58183  9.86219  0.27568  3.40777  1.20%  3.47%
14 84  0.14981  44.57553  0.59204  9.60546  0.25815  3.29447  1.75%  4.97%
14 85  0.20491  34.86584  0.58756  8.47549  0.20753  3.01853  1.47%  4.40%
14 86  0.25192  29.71751  0.58504  7.65690  0.16304  2.72451  1.73%  2.43%
14 87  0.24558  30.35434  0.58811  7.77438  0.16631  2.72060  1.57%  1.90%
14 88  0.17369  40.54154  0.62056  8.88596  0.20576  2.92767  2.59%  5.48%
14 89  0.15454  42.69198  0.62805  9.22518  0.21741  2.99635  2.51%  6.60%
14 90  0.15563  42.58108  0.62567  9.25067  0.21870  3.01570  2.24%  8.05%
14 91  0.22162  32.53237  0.56452  8.36975  0.21387  3.23314  2.24%  7.87%
14 92  0.21780  34.30130  0.55547  8.54322  0.22673  3.33497  2.02%  6.72%
15 15  0.51547  11.37488  0.48453  3.36302  0.00000  0.00000  2.70% 10.81%
15 16  0.54394  11.16681  0.45606  3.26743  0.00000  0.00000  3.19% 12.59%
15 17  0.55980  11.24184  0.44020  3.19868  0.00000  0.00000  4.07% 13.15%
15 18  0.59671  10.86878  0.40329  3.04242  0.00000  0.00000  4.25%  7.79%
15 19  0.58454  11.26673  0.41546  3.12154  0.00000  0.00000  4.73%  8.05%
15 20  0.56881  11.63442  0.43119  3.23531  0.00000  0.00000  4.69%  7.62%
15 21  0.55711  11.86869  0.44289  3.36022  0.00000  0.00000  4.41%  9.83%
15 22  0.51980  12.71718  0.48020  3.57032  0.00000  0.00000  4.47%  9.60%
15 23  0.48880  13.51407  0.51120  3.75277  0.00000  0.00000  4.36%  8.89%
15 24  0.47435  13.83934  0.52565  3.87757  0.00000  0.00000  3.85%  8.35%
15 25  0.44268  14.72671  0.55732  4.04794  0.00000  0.00000  3.50%  7.57%
15 26  0.43109  15.04639  0.56891  4.14452  0.00000  0.00000  3.19%  7.00%
15 27  0.41935  15.48810  0.58065  4.22508  0.00000  0.00000  2.83%  6.56%
15 28  0.42905  15.13045  0.57095  4.21988  0.00000  0.00000  2.21%  4.53%
15 29  0.03855  66.14099  0.43401 12.85424  0.52744  4.09104  1.70%  2.04%
15 30  0.39251  16.21554  0.54473  4.71802  0.06277  2.59039  1.71%  2.88%
15 31  0.27752  20.51076  0.36734  7.07382  0.35513  3.64819  1.71%  3.01%
15 32  0.17754  27.47394  0.43064  8.68825  0.39182  3.66939  1.84%  4.84%
15 33  0.11372  37.53058  0.47979  9.85002  0.40650  3.65964  2.02%  7.68%
15 34  0.12039  37.36092  0.51330  9.35452  0.36631  3.47815  2.45%  8.75%
15 35  0.12504  37.67896  0.54628  8.95798  0.32869  3.27454  2.82%  8.11%
15 36  0.13242  37.34169  0.59029  8.43484  0.27728  3.00254  2.69%  5.11%
15 37  0.10060  45.85577  0.59655  9.13601  0.30286  3.08090  3.03%  5.83%
15 38  0.09055  49.88412  0.60022  9.38286  0.30923  3.10922  3.12%  6.07%
15 39  0.63562  11.41186  0.36438  3.34039  0.00000  0.00000  4.15%  6.77%
15 40  0.62390  11.60621  0.37610  3.42583  0.00000  0.00000  3.50%  9.09%
15 41  0.59718  12.20766  0.40282  3.55692  0.00000  0.00000  3.71%  9.76%
15 42  0.56223  13.15055  0.43777  3.70945  0.00000  0.00000  4.05% 10.19%
15 43  0.54491  13.60557  0.45509  3.79807  0.00000  0.00000  3.97% 11.10%
15 44  0.52582  14.26711  0.47418  3.87730  0.00000  0.00000  4.31% 10.78%
15 45  0.52632  14.33284  0.47368  3.88271  0.00000  0.00000  4.03% 10.63%
15 46  0.02951 147.83463  0.51699 13.21787  0.45350  3.81271  3.25%  7.23%
15 47  0.57388  13.16980  0.42612  3.69558  0.00000  0.00000  2.20%  4.02%
15 48  0.06609  67.71336  0.54397 11.32994  0.38994  3.56634  1.43%  1.68%
15 49  0.05191  83.91719  0.54270 11.99130  0.40539  3.61786  1.42%  2.24%
15 50  0.05238  83.92647  0.55104 11.94850  0.39658  3.56867  1.62%  3.74%
15 51  0.04755  94.12571  0.56178 12.07292  0.39067  3.51788  2.15%  6.24%
15 52  0.07869  59.83463  0.56929 10.95101  0.35201  3.35540  2.04%  6.58%
15 53  0.09541  52.08747  0.57903 10.40741  0.32556  3.22084  2.90%  5.31%
15 54  0.18258  31.39955  0.55038  8.72930  0.26705  2.95439  2.42%  4.09%
15 55  0.12480  46.03775  0.61563  9.02097  0.25957  2.99431  3.24%  7.21%
15 56  0.11539  49.08743  0.60940  9.34022  0.27520  3.10875  4.28%  7.84%
15 57  0.10725  49.25980  0.56538 10.28618  0.32737  3.19274  3.66%  7.44%
15 58  0.16798  37.50533  0.61122  8.22269  0.22080  2.98468  2.88%  4.71%
15 59  0.18753  34.53626  0.60637  7.91622  0.20611  2.97059  2.36%  4.67%
15 60  0.19346  33.83266  0.60390  7.85239  0.20264  3.00175  2.26%  4.37%
15 61  0.19580  33.69342  0.60386  7.83306  0.20035  3.03326  2.22%  3.91%
15 62  0.19186  34.46504  0.60703  7.90046  0.20111  3.07166  2.14%  3.44%
15 63  0.18714  35.42860  0.61044  7.97833  0.20243  3.10984  2.03%  3.07%
15 64  0.10571  52.48062  0.60842  9.63647  0.28587  3.54371  3.13%  5.64%
15 65  0.18261  36.65314  0.61271  8.08048  0.20468  3.17881  1.78%  2.21%
15 66  0.18406  36.62486  0.61117  8.08307  0.20476  3.20546  1.65%  1.83%
15 67  0.18806  36.13247  0.60866  8.04824  0.20328  3.21974  1.50%  1.51%
15 68  0.19519  35.14129  0.60497  7.96968  0.19984  3.21622  1.23%  1.19%
15 69  0.19926  34.67358  0.60552  7.91950  0.19523  3.18672  1.06%  1.04%
15 70  0.20578  31.75434  0.61468  7.84872  0.17954  3.07037  0.99%  1.50%
15 71  0.11951  48.78513  0.59127  9.65014  0.28922  3.60118  2.26%  4.34%
15 72  0.13883  46.29695  0.57004  9.52814  0.29114  3.65664  2.25%  7.42%
15 73  0.12649  49.93382  0.56362  9.91713  0.30989  3.74673  2.50%  8.58%
15 74  0.10566  57.90044  0.55671 10.60716  0.33763  3.85625  2.83%  8.57%
15 75  0.08848  67.13189  0.55021 11.27906  0.36132  3.94289  3.25%  9.09%
15 76  0.07887  74.41343  0.54668 11.71305  0.37445  3.98472  3.59%  9.96%
15 77  0.08422  70.97202  0.55280 11.47415  0.36298  3.92796  3.34% 10.04%
15 78  0.10295  61.42748  0.57123 10.64077  0.32582  3.75263  2.47%  6.54%
15 79  0.12380  53.39765  0.58504  9.93501  0.29117  3.58030  1.59%  3.71%
15 80  0.13655  46.45313  0.58621  9.65471  0.27724  3.49793  1.12%  1.80%
15 81  0.13489  46.85325  0.58096  9.80998  0.28416  3.51520  1.06%  2.40%
15 82  0.13973  46.16982  0.59283  9.59742  0.26744  3.40112  1.05%  5.22%
15 83  0.12963  49.17699  0.60110  9.81553  0.26927  3.38246  1.64%  6.13%
15 84  0.13960  46.94452  0.61078  9.51053  0.24962  3.25999  1.98%  6.12%
15 85  0.17299  39.97661  0.61485  8.76210  0.21216  3.04388  1.63%  5.98%
15 86  0.19138  37.31921  0.62389  8.34670  0.18472  2.84905  1.72%  4.22%
15 87  0.17143  40.96667  0.63363  8.67321  0.19494  2.88277  1.75%  2.91%
15 88  0.14206  48.39461  0.64488  9.22464  0.21305  2.97085  3.10%  6.69%
15 89  0.11680  53.17419  0.65502  9.67126  0.22818  3.05266  3.82%  7.60%
15 90  0.13375  48.37836  0.64771  9.37901  0.21854  3.01516  2.84% 10.20%
15 91  0.16401  40.43374  0.59340  9.16899  0.24259  3.36734  2.20%  9.02%
15 92  0.16331  43.21340  0.57968  9.35375  0.25701  3.47390  2.13%  7.72%
16 16  0.52276  11.93396  0.47724  3.33410  0.00000  0.00000  4.62% 13.17%
16 17  0.54583  11.76255  0.45417  3.25441  0.00000  0.00000  4.88% 13.98%
16 18  0.56113  11.78108  0.43887  3.18702  0.00000  0.00000  5.12%  8.96%
16 19  0.58870  11.32171  0.41130  3.12099  0.00000  0.00000  3.94%  5.28%
16 20  0.58012  11.52043  0.41988  3.20965  0.00000  0.00000  3.45%  5.33%
16 21  0.55969  11.90472  0.44031  3.36880  0.00000  0.00000  3.47%  8.19%
16 22  0.52183  12.76300  0.47817  3.58799  0.00000  0.00000  3.40%  7.82%
16 23  0.48954  13.58064  0.51046  3.77947  0.00000  0.00000  3.31%  7.31%
16 24  0.47655  13.83749  0.52345  3.90157  0.00000  0.00000  2.82%  6.93%
16 25  0.44868  14.53812  0.55132  4.06554  0.00000  0.00000  2.47%  5.95%
16 26  0.42883  15.17367  0.57117  4.19066  0.00000  0.00000  2.35%  4.89%
16 27  0.42386  15.30074  0.57614  4.25229  0.00000  0.00000  2.08%  4.85%
16 28  0.43047  15.05462  0.56953  4.25820  0.00000  0.00000  1.82%  3.65%
16 29  0.05508  47.86183  0.41729 12.55913  0.52763  4.13572  1.81%  2.43%
16 30  0.32980  18.29555  0.39431  5.95554  0.27589  3.53485  1.80%  3.17%
16 31  0.24409  22.47105  0.42210  7.34023  0.33381  3.56205  1.91%  4.81%
16 32  0.14244  31.69811  0.46249  9.27623  0.39507  3.67062  2.10%  7.04%
16 33  0.11472  37.66331  0.50226  9.61374  0.38302  3.57928  2.68%  8.85%
16 34  0.07960  50.47728  0.53560 10.29210  0.38480  3.53011  3.48%  8.21%
16 35  0.09880  44.92358  0.55852  9.56096  0.34268  3.32688  3.09%  9.15%
16 36  0.09263  48.54990  0.58988  9.44753  0.31749  3.17010  3.20%  5.97%
16 37  0.10205  46.34373  0.60626  9.06941  0.29169  3.04818  2.62%  3.82%
16 38  0.10168  46.94072  0.60893  9.08003  0.28939  3.04189  2.43%  5.33%
16 39  0.65044  11.21339  0.34956  3.29643  0.00000  0.00000  3.64%  6.79%
16 40  0.06880  63.07975  0.58402 10.26231  0.34718  3.34732  2.98% 10.02%
16 41  0.60500  12.16233  0.39500  3.53447  0.00000  0.00000  3.40% 10.95%
16 42  0.57330  12.98786  0.42670  3.67836  0.00000  0.00000  3.56% 10.48%
16 43  0.54160  13.87341  0.45840  3.82227  0.00000  0.00000  3.78%  9.53%
16 44  0.53958  13.98417  0.46042  3.84413  0.00000  0.00000  3.64%  9.94%
16 45  0.52761  14.46865  0.47239  3.89385  0.00000  0.00000  3.57%  8.27%
16 46  0.54993  13.86574  0.45007  3.81317  0.00000  0.00000  2.56%  6.00%
16 47  0.04501  93.07695  0.53750 12.28455  0.41749  3.69434  1.61%  3.96%
16 48  0.05224  81.31355  0.54263 11.99744  0.40513  3.64016  1.40%  2.47%
16 49  0.06433  68.29450  0.55055 11.51922  0.38512  3.55608  1.56%  3.60%
16 50  0.05392  81.55152  0.56092 11.82730  0.38515  3.53700  2.12%  5.72%
16 51  0.06655  68.31089  0.57218 11.30533  0.36127  3.41972  2.13%  7.26%
16 52  0.08749  54.64315  0.57664 10.67715  0.33587  3.30259  2.19%  7.57%
16 53  0.07480  63.87180  0.59376 10.91096  0.33144  3.25190  3.26%  6.60%
16 54  0.11585  45.34890  0.59290  9.85310  0.29125  3.06125  2.43%  5.90%
16 55  0.12881  45.43731  0.62166  8.93771  0.24952  2.96613  2.96%  6.71%
16 56  0.11686  49.35278  0.61541  9.31222  0.26773  3.09508  4.00%  8.04%
16 57  0.10731  50.00969  0.58240 10.09071  0.31029  3.14426  3.41%  8.16%
16 58  0.16234  38.54964  0.61072  8.39330  0.22694  3.03420  2.41%  3.45%
16 59  0.18300  35.10542  0.60081  8.10715  0.21619  3.04201  1.89%  3.14%
16 60  0.19409  33.59074  0.59435  7.98225  0.21156  3.07279  1.76%  2.59%
16 61  0.19666  33.40462  0.59316  7.97014  0.21018  3.10941  1.72%  2.21%
16 62  0.19338  34.06545  0.59500  8.03537  0.21161  3.15241  1.63%  1.85%
16 63  0.19118  34.62289  0.59618  8.08414  0.21264  3.19174  1.53%  1.56%
16 64  0.10494  52.58119  0.59658  9.85460  0.29849  3.61880  2.63%  4.29%
16 65  0.19540  34.43718  0.59534  8.04597  0.20926  3.24003  1.33%  1.32%
16 66  0.19996  33.98321  0.59379  7.98979  0.20625  3.25409  1.34%  1.49%
16 67  0.20554  33.42771  0.59123  7.92172  0.20322  3.26326  1.30%  1.63%
16 68  0.21050  32.95658  0.58826  7.87021  0.20124  3.26994  1.17%  1.61%
16 69  0.20138  34.45123  0.59462  8.00252  0.20400  3.26905  1.11%  1.43%
16 70  0.22178  29.83080  0.60304  7.72062  0.17518  3.08121  1.38%  2.41%
16 71  0.14329  42.08073  0.59150  9.13930  0.26521  3.52054  1.84%  4.86%
16 72  0.13726  46.80357  0.57333  9.55684  0.28941  3.66404  2.37%  7.19%
16 73  0.12881  49.32725  0.56784  9.85425  0.30335  3.72888  2.31%  9.18%
16 74  0.11092  55.83801  0.56073 10.46238  0.32836  3.82996  2.50%  9.45%
16 75  0.09681  62.80674  0.55408 11.01699  0.34911  3.90958  2.68%  8.79%
16 76  0.08772  68.26148  0.55190 11.38548  0.36039  3.94676  2.99%  9.09%
16 77  0.09304  65.33356  0.55699 11.17099  0.34997  3.89540  2.66%  8.48%
16 78  0.10187  62.00293  0.57503 10.68525  0.32310  3.75278  2.23%  5.32%
16 79  0.12654  52.11100  0.58381  9.94061  0.28966  3.58452  1.23%  4.03%
16 80  0.13760  45.46507  0.57977  9.77167  0.28263  3.54016  0.97%  2.91%
16 81  0.14431  44.37164  0.58628  9.58255  0.26942  3.45692  1.21%  3.70%
16 82  0.13488  47.37791  0.60339  9.66410  0.26173  3.37131  1.79%  7.05%
16 83  0.12631  50.19932  0.61304  9.81927  0.26066  3.34084  2.36%  6.19%
16 84  0.14030  46.64670  0.61980  9.45037  0.23990  3.21571  2.23%  7.04%
16 85  0.15369  43.81340  0.62710  9.11394  0.21921  3.08002  1.96%  7.58%
16 86  0.14969  45.35315  0.64124  9.09341  0.20907  2.98558  2.38%  5.36%
16 87  0.16739  41.70095  0.64355  8.71092  0.18907  2.85308  1.86%  3.03%
16 88  0.14697  46.89271  0.65201  9.09461  0.20102  2.91701  2.78%  7.18%
16 89  0.11801  52.95184  0.66307  9.61771  0.21892  3.01669  3.74%  7.90%
16 90  0.11275  54.82361  0.66268  9.76596  0.22457  3.05506  3.85% 10.62%
16 91  0.14823  43.10192  0.59840  9.54125  0.25337  3.43380  2.36%  9.81%
16 92  0.14706  46.67688  0.58229  9.78985  0.27065  3.55352  2.34%  8.13%
17 17  0.54840  11.87593  0.45160  3.25387  0.00000  0.00000  5.27% 15.16%
17 18  0.61521  10.80075  0.38479  2.99437  0.00000  0.00000  3.30%  3.20%
17 19  0.04109  41.72114  0.60839  9.81938  0.35052  2.90761  2.44%  2.39%
17 20  0.61740  10.89553  0.38260  3.07807  0.00000  0.00000  2.15%  3.61%
17 21  0.58040  11.59802  0.41960  3.30371  0.00000  0.00000  2.30%  5.60%
17 22  0.55412  12.05936  0.44588  3.49407  0.00000  0.00000  2.11%  5.38%
17 23  0.53172  12.45454  0.46828  3.66242  0.00000  0.00000  1.97%  4.78%
17 24  0.51057  12.87917  0.48943  3.81269  0.00000  0.00000  1.93%  4.29%
17 25  0.03704  50.77355  0.45697 12.42074  0.50599  3.95937  1.96%  3.38%
17 26  0.04534  46.01612  0.43048 12.62706  0.52417  4.08378  2.02%  2.98%
17 27  0.05343  43.16477  0.41128 12.71093  0.53529  4.16901  1.97%  2.68%
17 28  0.07289  37.76909  0.39544 12.29232  0.53166  4.18556  2.02%  2.79%
17 29  0.12637  29.68476  0.37626 10.78964  0.49737  4.08210  1.97%  2.89%
17 30  0.27786  20.68701  0.45512  6.51295  0.26702  3.40477  2.21%  3.49%
17 31  0.17171  28.23147  0.48048  8.34512  0.34781  3.55211  2.70%  4.57%
17 32  0.14293  32.69940  0.51592  8.74119  0.34115  3.46936  2.95%  6.46%
17 33  0.11285  39.01447  0.53874  9.32215  0.34841  3.44038  3.09%  7.94%
17 34  0.09207  45.90669  0.55768  9.73718  0.35025  3.40220  3.19%  8.91%
17 35  0.08975  48.09722  0.57315  9.71086  0.33710  3.30562  3.12%  9.57%
17 36  0.14613  35.45677  0.61114  8.11922  0.24273  2.86738  1.74%  2.38%
17 37  0.15041  34.95396  0.62188  8.00250  0.22770  2.77329  1.49%  2.28%
17 38  0.12289  41.07015  0.62536  8.52428  0.25176  2.87969  1.99%  5.60%
17 39  0.09728  49.30663  0.61363  9.22843  0.28909  3.08084  2.59%  7.88%
17 40  0.64689  11.40728  0.35311  3.34494  0.00000  0.00000  3.46%  7.54%
17 41  0.62773  11.80972  0.37227  3.44600  0.00000  0.00000  2.91%  7.52%
17 42  0.60821  12.26676  0.39179  3.55024  0.00000  0.00000  2.54%  7.85%
17 43  0.57924  12.94846  0.42076  3.69153  0.00000  0.00000  2.54%  7.35%
17 44  0.56492  13.39503  0.43508  3.75560  0.00000  0.00000  2.60%  6.80%
17 45  0.56104  13.56722  0.43896  3.78204  0.00000  0.00000  2.29%  6.44%
17 46  0.57188  13.37580  0.42812  3.73930  0.00000  0.00000  1.73%  4.29%
17 47  0.57755  13.38984  0.42245  3.70659  0.00000  0.00000  1.73%  3.44%
17 48  0.10398  44.96073  0.54158 10.44157  0.35444  3.46533  1.56%  2.46%
17 49  0.11330  42.57030  0.54690 10.19704  0.33980  3.39609  1.78%  4.47%
17 50  0.13294  37.99001  0.54622  9.78086  0.32083  3.30824  1.93%  5.64%
17 51  0.10684  45.93130  0.57493 10.17260  0.31823  3.25271  1.90%  7.08%
17 52  0.07069  66.21074  0.59680 10.99611  0.33251  3.28000  3.17%  6.44%
17 53  0.07384  64.59074  0.60471 10.87317  0.32146  3.21443  3.12%  7.01%
17 54  0.19399  30.35170  0.56488  8.50569  0.24113  2.85446  1.69%  3.23%
17 55  0.15940  38.42011  0.62678  8.30050  0.21383  2.80235  2.13%  4.38%
17 56  0.15112  40.23117  0.62150  8.55725  0.22738  2.92123  2.83%  7.24%
17 57  0.14833  39.84475  0.58551  9.10796  0.26616  2.97348  2.40%  7.39%
17 58  0.20367  32.26398  0.60402  7.74837  0.19231  2.88055  1.52%  1.58%
17 59  0.22877  29.43962  0.59161  7.43546  0.17962  2.88029  1.31%  1.26%
17 60  0.25223  27.22525  0.58273  7.14573  0.16503  2.86104  1.25%  1.34%
17 61  0.26755  26.01662  0.57800  6.96957  0.15445  2.85017  1.37%  1.65%
17 62  0.27113  25.86093  0.57742  6.94532  0.15145  2.87236  1.44%  2.25%
17 63  0.28377  25.00418  0.57321  6.81424  0.14302  2.86376  1.62%  2.67%
17 64  0.17477  34.61446  0.58502  8.50329  0.24021  3.40619  1.31%  1.36%
17 65  0.31423  23.06327  0.56310  6.50111  0.12267  2.81392  2.03%  3.26%
17 66  0.32875  22.27819  0.55911  6.34660  0.11214  2.77726  2.19%  3.38%
17 67  0.33154  22.21962  0.55913  6.32064  0.10933  2.77984  2.26%  3.52%
17 68  0.31549  23.35995  0.56733  6.48628  0.11718  2.83340  2.11%  3.38%
17 69  0.27453  26.68176  0.59217  6.90361  0.13330  2.89108  1.84%  2.77%
17 70  0.25384  27.16980  0.61723  7.15184  0.12893  2.77671  1.25%  2.02%
17 71  0.18320  35.40045  0.60371  8.26494  0.21308  3.28959  1.59%  5.94%
17 72  0.14851  45.10611  0.58963  9.18469  0.26186  3.54078  2.41%  6.11%
17 73  0.12971  50.11579  0.58129  9.74664  0.28900  3.65963  2.51%  6.24%
17 74  0.11432  55.21817  0.57279 10.28024  0.31289  3.76096  2.52%  5.94%
17 75  0.11536  54.51318  0.56608 10.36205  0.31857  3.79111  1.99%  5.98%
17 76  0.10560  58.65207  0.56348 10.70876  0.33091  3.83682  2.12%  5.73%
17 77  0.10045  61.61678  0.56582 10.87645  0.33373  3.83504  2.09%  5.01%
17 78  0.12515  52.17222  0.58027 10.03578  0.29458  3.63892  1.33%  4.32%
17 79  0.13604  48.92902  0.58558  9.74971  0.27838  3.53775  1.03%  4.35%
17 80  0.16926  38.94693  0.58470  9.05216  0.24604  3.37522  1.06%  2.53%
17 81  0.17054  39.00308  0.59511  8.95144  0.23435  3.29123  1.43%  4.00%
17 82  0.15566  42.54880  0.61313  9.14681  0.23120  3.21449  1.81%  6.24%
17 83  0.15290  43.21912  0.62018  9.17999  0.22693  3.17169  1.86%  6.83%
17 84  0.14963  44.33618  0.62899  9.19840  0.22138  3.11530  1.97%  7.43%
17 85  0.13593  48.40340  0.64137  9.41602  0.22271  3.09018  2.48%  7.25%
17 86  0.18259  38.59164  0.64079  8.46520  0.17661  2.80254  1.61%  3.54%
17 87  0.19987  36.08082  0.64063  8.15616  0.15949  2.67092  1.32%  2.41%
17 88  0.16410  42.79688  0.65769  8.71570  0.17821  2.78450  2.19%  6.09%
17 89  0.14496  44.26043  0.66493  9.04082  0.19011  2.86196  2.55%  7.54%
17 90  0.12333  50.94991  0.67054  9.48937  0.20613  2.95433  3.11%  8.08%
17 91  0.14981  42.35405  0.60296  9.51716  0.24723  3.41801  2.54%  4.93%
17 92  0.15562  44.31000  0.58541  9.60815  0.25897  3.51704  2.18%  3.51%
18 18  0.56797  11.10258  0.32043  3.96037  0.11160  2.00663  2.48%  2.51%
18 19  0.33728  14.84022  0.43914  6.26658  0.22357  2.44385  2.13%  2.05%
18 20  0.19496  19.78869  0.53452  7.62525  0.27052  2.68016  1.85%  1.85%
18 21  0.17496  21.16836  0.52120  8.08919  0.30384  2.91948  1.73%  1.84%
18 22  0.18926  21.00155  0.48914  8.07938  0.32160  3.10560  1.76%  1.82%
18 23  0.25111  18.88613  0.43707  7.35129  0.31183  3.20550  1.75%  2.05%
18 24  0.25279  19.48031  0.43163  7.25117  0.31558  3.32593  1.92%  2.44%
18 25  0.32414  17.46639  0.43933  5.95900  0.23653  3.24312  2.14%  2.76%
18 26  0.36371  16.72396  0.54880  5.01478  0.08749  2.71232  2.09%  3.62%
18 27  0.36406  17.00933  0.55428  4.98199  0.08166  2.78793  1.95%  3.51%
18 28  0.34411  17.89974  0.47425  5.44186  0.18164  3.33621  1.86%  3.15%
18 29  0.31965  18.85498  0.50479  5.72156  0.17556  3.12436  1.97%  2.87%
18 30  0.29252  20.60459  0.58186  5.76542  0.12562  2.68063  2.05%  2.49%
18 31  0.24576  23.35100  0.58755  6.39997  0.16669  2.78859  2.08%  3.15%
