# Z1 Z2     a1   b1[1/Ang]  a2     b2[1/Ang]   a3    b3[1/Ang] error(V>30) error(V>10)
 1 70  0.17755  37.04485  0.63440  7.62434  0.18805  2.68190  1.14%  1.92%
 1 71  0.08874  65.20415  0.51681 10.83261  0.39445  3.73585  0.80%  1.32%
 1 72  0.06570  84.69672  0.48956 12.23231  0.44474  3.97061  1.06%  1.82%
 1 73  0.06066  91.26766  0.48287 12.66457  0.45646  4.02968  1.15%  2.66%
 1 74  0.04931 114.23437  0.46912 13.60158  0.48157  4.14043  1.43%  3.19%
 1 75  0.04031 142.09002  0.45268 14.62952  0.50701  4.25615  1.72%  3.65%
 1 76  0.03576 162.62196  0.44087 15.35970  0.52336  4.34088  1.79%  4.35%
 1 77  0.44809  17.96108  0.55191  4.45402  0.00000  0.00000  2.12%  4.33%
 1 78  0.45521  17.82008  0.54479  4.41523  0.00000  0.00000  1.89%  3.91%
 1 79  0.03452 181.61003  0.45223 15.53852  0.51325  4.27715  1.41%  3.12%
 1 80  0.06517  85.88336  0.51398 12.65836  0.42085  3.80761  0.50%  0.70%
 1 81  0.08304  68.67173  0.52905 11.83729  0.38791  3.62614  0.57%  0.91%
 1 82  0.07391  77.67607  0.54022 12.10886  0.38586  3.55263  0.65%  1.88%
 1 83  0.05895  98.81204  0.53958 12.82872  0.40148  3.59251  0.92%  2.67%
 1 84  0.05167 115.56402  0.53941 13.26113  0.40892  3.59907  1.15%  3.41%
 1 85  0.04399 143.17989  0.53734 13.78896  0.41867  3.61643  1.44%  4.34%
 1 86  0.11662  53.42223  0.58761 10.46085  0.29577  2.85863  0.75%  1.69%
 1 87  0.12204  51.21918  0.58580 10.43023  0.29217  2.76729  0.53%  0.78%
 1 88  0.06878  88.39946  0.59376 12.09977  0.33746  2.95781  1.09%  3.34%
 1 89  0.04812 132.87142  0.58475 13.16824  0.36713  3.08592  1.48%  3.98%
 1 90  0.59837  15.25050  0.40163  3.22503  0.00000  0.00000  1.95%  4.14%
 1 91  0.03975 157.87629  0.50575 15.14476  0.45450  3.78300  1.09%  3.04%
 1 92  0.03782 172.37632  0.49073 15.71551  0.47145  3.90560  1.12%  2.96%
 2  2  0.44025   8.75372  0.55975  1.86780  0.00000  0.00000  0.94%  1.58%
 2  3  0.22084  16.33466  0.77916  2.68757  0.00000  0.00000  2.12%  3.41%
 2  4  0.15682  21.51717  0.84318  3.06824  0.00000  0.00000  1.86%  2.26%
 2  5  0.08918  33.16224  0.91082  3.62754  0.00000  0.00000  2.27%  3.01%
 2  6  0.04578  55.06311  0.95422  4.14842  0.00000  0.00000  2.88%  5.20%
 2  7  0.01725 145.87519  0.98275  4.64803  0.00000  0.00000  3.50%  7.02%
 2  8  0.00251 999.99998  0.99749  5.11935  0.00000  0.00000  4.22%  9.05%
 2  9  0.02516  95.54002  0.95791  5.17262  0.01693  0.00000  1.86%  1.90%
 2 10  0.76251   7.00553  0.23749  1.77935  0.00000  0.00000  3.02%  4.90%
 2 11  0.61315   8.62259  0.38685  2.33170  0.00000  0.00000  3.35%  5.42%
 2 12  0.46969  11.17304  0.53031  2.72230  0.00000  0.00000  3.47%  4.37%
 2 13  0.38187  13.74509  0.61813  3.03497  0.00000  0.00000  3.29%  4.50%
 2 14  0.30709  17.33509  0.69291  3.34101  0.00000  0.00000  3.64%  4.85%
